university;faculty;department;price;scholarship_info
İstanbul Ticaret Üniversitesi;Mühendislik Fakültesi;Bilgisayar Mühendisliği;1330000;-
İstanbul Ticaret Üniversitesi;Mühendislik Fakültesi;Elektrik-Elektronik Mühendisliği (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;Mühendislik Fakültesi;Endüstri Mühendisliği;1330000;-
İstanbul Ticaret Üniversitesi;Mühendislik Fakültesi;Mekatronik Mühendisliği (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;Mühendislik Fakültesi;Yazılım Mühendisliği (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;Mimarlık ve Tasarım Fakültesi;Endüstriyel Tasarım;1330000;-
İstanbul Ticaret Üniversitesi;Mimarlık ve Tasarım Fakültesi;İç Mimarlık ve Çevre Tasarımı;1330000;-
İstanbul Ticaret Üniversitesi;Mimarlık ve Tasarım Fakültesi;Mimarlık;1330000;-
İstanbul Ticaret Üniversitesi;Mimarlık ve Tasarım Fakültesi;Tekstil ve Moda Tasarımı;1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;Finans ve Bankacılık (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;Havacılık Yönetimi;1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;İktisat;1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;İktisat (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;İşletme;1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;İşletme (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;Lojistik Yönetimi;1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;Uluslararası Ticaret (İngilizce);1190000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;Uluslararası Ticaret ve Finansman;1330000;-
İstanbul Ticaret Üniversitesi;İşletme Fakültesi;Yönetim Bilişim Sistemleri (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;İletişim Fakültesi;Görsel İletişim Tasarımı;1190000;-
İstanbul Ticaret Üniversitesi;İletişim Fakültesi;Halkla İlişkiler ve Reklamcılık;1190000;-
İstanbul Ticaret Üniversitesi;İletişim Fakültesi;Medya ve İletişim;1190000;-
İstanbul Ticaret Üniversitesi;Hukuk Fakültesi;Hukuk;1330000;-
İstanbul Ticaret Üniversitesi;İnsan ve Toplum Bilimleri Fakültesi;İstatistik;1190000;-
İstanbul Ticaret Üniversitesi;İnsan ve Toplum Bilimleri Fakültesi;Matematik;1190000;-
İstanbul Ticaret Üniversitesi;İnsan ve Toplum Bilimleri Fakültesi;Siyaset Bilimi ve Uluslararası İlişkiler;1330000;-
İstanbul Ticaret Üniversitesi;İnsan ve Toplum Bilimleri Fakültesi;Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce);1330000;-
İstanbul Ticaret Üniversitesi;İnsan ve Toplum Bilimleri Fakültesi;Sosyoloji;1190000;-
İstanbul Ticaret Üniversitesi;Meslek Yüksekokulu;Tüm Önlisans Programları;664000;-
